회사명|종목코드|업종|주요제품
아톤|158430|소프트웨어 개발 및 공급업|모바일금융솔루션, mOTP 개발
녹십자웰빙|234690|의약품 제조업|전문의약품, 건강기능식품
누보|332290|비료, 농약 및 살균, 살충제 제조업|기업 인수 및 합병
포커스에이치엔에스|331380|영상 및 음향기기 제조업|합병
케이비제19호스팩|330990|금융 지원 서비스업|금융지원서비스
올리패스|244460|기초 의약물질 및 생물학적 제제 제조업|인공유전자 플랫폼(OliPass PNA) 기술을 활용한 RNA치료제 신약개발
라닉스|317120|반도체 제조업|자동차 및 IoT 통신, 보안솔루션
윈텍|320000|특수 목적용 기계 제조업|비전검사장비
한독크린텍|256150|일반 목적용 기계 제조업|정수기 필터
상상인이안제2호스팩|329560|금융 지원 서비스업|기업인수합병
네오크레마|311390|기타 식품 제조업|기능성 식품 원료
마니커에프앤지|195500|도축, 육류 가공 및 저장 처리업|육가공품, 튀김류, 패티류, 삼계탕 등
미래에셋대우스팩3호|328380|금융 지원 서비스업|기업인수합병
나노브릭|286750|기초 화학물질 제조업|보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)
에스피시스템스|317830|특수 목적용 기계 제조업|산업용 갠트리 로봇
레이|228670|의료용 기기 제조업|디지털 치료솔루션(CT scan 장비, 3D 프린터), 디지털 진단시스템(X-ray, CT 등)
그린플러스|186230|1차 비철금속 제조업|첨단유리온실, 온실용자재설치공사, 알루미늄 압출/가공제품
코윈테크|282880|특수 목적용 기계 제조업|공정자동화설비(2차전지,석유화학,반도체,디스플레이)
덕산테코피아|317330|기타 화학제품 제조업|OLED 소재, 반도체 소재
슈프리마아이디|317770|전자부품 제조업|지문인식 등록, 인증 기기 및 솔루션
한국바이오젠|318000|합성고무 및 플라스틱 물질 제조업|실리콘 소재(실란 모노머, 실리콘 레진&폴리머, 실리콘 융합소재)
세경하이테크|148150|전자부품 제조업|DECO Film 및 기타 TAPE 제조
윌링스|313760|전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업|태양광 인버터 등
대모|317850|특수 목적용 기계 제조업|유압브레이커, 특수장비/부품, 퀵커플러 등
에이스토리|241840|영화, 비디오물, 방송프로그램 제작 및 배급업|방송프로그램 제작
플리토|300080|자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업|언어 데이터 구축 및 판매
세틀뱅크|234340|기타 정보 서비스업|가상계좌중계, 간편현금결제
아이스크림에듀|289010|서적, 잡지 및 기타 인쇄물 출판업|아이스크림홈런
펌텍코리아|251970|플라스틱제품 제조업|화장품 용기
에이에프더블류|312610|일차전지 및 축전지 제조업|음극마찰용접단자
신영스팩5호|323280|금융 지원 서비스업|기업인수 및 합병
엠에프엠코리아|323230|편조의복 제조업|남성,여성,남아,여아용 면의류
압타바이오|293780|자연과학 및 공학 연구개발업|용역매출, 유전자전달체, 압타머연구용시약
까스텔바작|308100|섬유, 의복, 신발 및 가죽제품 소매업|골프의류 및 골프잡화
마이크로디지탈|305090|의료용 기기 제조업|바이오 분석 시스템, 메디칼 자동화 시스템
코퍼스코리아|322780|영화, 비디오물, 방송프로그램 제작 및 배급업|콘텐츠 배급 및 제작
프로이천|321260|반도체 제조업|합병
수젠텍|253840|의료용품 및 기타 의약 관련제품 제조업|체외진단 기기 및 시약
컴퍼니케이|307930|기타 금융업|중소 벤처기업 투자
피에스케이|319660|특수 목적용 기계 제조업|드라이스트립, 드라이클리닝
현대무벡스|319400|일반 목적용 기계 제조업|물류자동화, IT서비스
SNK|950180|소프트웨어 개발 및 공급업|IP 라이센스, 콘솔, 모바일 게임
TS트릴리온|317240|기타 화학제품 제조업|기업인수합병
아모그린텍|125210|전자부품 제조업|비정질 및 나노결정립을 이용한 자성부품 및 전류센서
지노믹트리|228760|의료용품 및 기타 의약 관련제품 제조업|암 조기진단 제품
이지케어텍|099750|소프트웨어 개발 및 공급업|의료정보시스템
미래에셋벤처투자|100790|기타 금융업|중소기업 창업투자 관련 고유계정/투자조합 관련 수익
에코프로비엠|247540|일차전지 및 축전지 제조업|양극활물질
셀리드|299660|자연과학 및 공학 연구개발업|항암면역치료백신
천보|278280|기초 화학물질 제조업|디스플레이 소재, 반도체 공정 소재, 2차전지 소재, 의약품 소재, 정밀화학 소재
이노테라피|246960|의료용품 및 기타 의약 관련제품 제조업|의료용지혈제, 밀폐제 및 접착제
노랑풍선|104620|여행사 및 기타 여행보조 서비스업|국내외여행 알선, 항공권 판매
웹케시|053580|소프트웨어 개발 및 공급업|에스이알피, 브랜치, 인하우스
비피도|238200|기타 식품 제조업|프로바이오틱스 관련 완제품 및 균주 원말 등
유틸렉스|263050|기초 의약물질 및 생물학적 제제 제조업|면역항암 세포치료제, 면역항암 항체치료제
디케이티|290550|전자부품 제조업|스마트폰용 FPCA
아이엘사이언스|307180|전구 및 조명장치 제조업|LED용 실리콘렌즈 외
애니플러스|310200|영화, 비디오물, 방송프로그램 제작 및 배급업|방송통신사업
디와이씨|310870|자동차 신품 부품 제조업|자동차 부품
오하임아이엔티|309930|기타 생활용품 소매업|기업인수합병
위지윅스튜디오|299900|영화, 비디오물, 방송프로그램 제작 및 배급업|VFX, 뉴미디어 등 특수영상 컨텐츠 제작
국전약품|307750|의약품 제조업|기업 인수 및 합병
에이비엘바이오|298380|기초 의약물질 및 생물학적 제제 제조업|항체의약품 연구개발
